keyword,cluster,sv_de_de,cpc_de_de,comp_de_de,sv_hamburg_de,sv_de_en,cpc_de_en
aeo,aeo,3600,5.15,LOW,,3600,5.15
aeo agentur,aeo,,,,,,
aeo analyse,service_intent,,,,,,
aeo audit,service_intent,20,,LOW,,,
aeo beratung,aeo,10,,,,,
aeo dienstleister,aeo,,,,,,
aeo experte,aeo,,,,,,
aeo für unternehmen,b2b_vertical,,,,,,
aeo hamburg,local_hamburg,10,,LOW,10,,
aeo marketing,aeo,70,5.73,MEDIUM,,,
aeo optimierung,aeo,30,5.86,MEDIUM,,,
aeo seo,aeo,140,4.61,LOW,,,
aeo strategie,service_intent,,,,,,
aeo vs geo,education,30,1.15,LOW,,,
aeo vs seo,education,50,3.56,LOW,,,
ai search optimization für lokale unternehmen,b2b_vertical,,,,,,
ai search optimization hamburg,local_hamburg,,,,,,
ai search strategie,service_intent,,,,,,
ai search visibility verbessern,problem_aware,,,,,,
ai seo agentur,de_commercial,,,,,,
ai seo agentur hamburg,local_hamburg,,,,,,
ai seo analyse,service_intent,,,,,,
ai seo audit,service_intent,10,22.7,LOW,,,
ai seo beratung,de_commercial,,,,,,
ai seo beratung hamburg,local_hamburg,,,,,,
ai seo consultant hamburg,local_hamburg,,,,,,
ai seo dienstleister,de_commercial,,,,,,
ai seo experte,de_commercial,,,,,,
ai seo experte hamburg,local_hamburg,,,,,,
ai seo für agenturen,b2b_vertical,,,,,,
ai seo für anwälte,b2b_vertical,,,,,,
ai seo für b2b,b2b_vertical,,,,,,
ai seo für immobilienmakler,b2b_vertical,,,,,,
ai seo für kmu,b2b_vertical,,,,,,
ai seo für lokale unternehmen,b2b_vertical,,,,,,
ai seo für online shops,b2b_vertical,,,,,,
ai seo für unternehmen,b2b_vertical,,,,,,
ai seo für ärzte,b2b_vertical,,,,,,
ai seo hamburg,local_hamburg,,,,,,
ai seo service,de_commercial,30,,LOW,,,
ai seo strategie,service_intent,,,,,,
ai seo vs seo,education,,,,,,
ai suchmaschinenoptimierung,de_commercial,,,,,,
ai suchmaschinenoptimierung hamburg,local_hamburg,,,,,,
ai visibility,llmo,110,11.23,MEDIUM,,,
ai visibility agency,llmo,10,,,,,
ai visibility audit,service_intent,10,12.57,HIGH,,,
ai visibility hamburg,local_hamburg,,,,,,
ai visibility monitoring,llmo,10,21.1,MEDIUM,,,
ai visibility optimization,llmo,10,10.5,MEDIUM,,,
ai visibility report,service_intent,10,,LOW,,,
ai visibility tool,llmo,70,10.06,HIGH,,,
answer engine optimisation,aeo,10,,HIGH,,10,
answer engine optimisation agency,aeo,,,,,,
answer engine optimization,aeo,210,5.34,MEDIUM,,210,5.34
answer engine optimization agentur,aeo,,,,,,
answer engine optimization beratung,aeo,,,,,,
answer engine optimization deutsch,aeo,,,,,,
answer engine optimization deutschland,aeo,,,,,,
answer engine optimization experte,aeo,,,,,,
answer engine optimization für kmu,aeo,,,,,,
answer engine optimization für unternehmen,aeo,,,,,,
answer engine optimization hamburg,local_hamburg,,,,,,
answer engine optimization service,aeo,,,,,,
answer engine optimization vs seo,education,,,,,,
antwort engine optimierung,aeo,,,,,,
antwortmaschinen optimierung,aeo,,,,,,
antwortmaschinenoptimierung,aeo,,,,,,
bewertungen ai seo,entity_trust,,,,,,
brand entity seo,entity_trust,,,,,,
brand mentions in chatgpt verbessern,problem_aware,,,,,,
brand visibility in ai,llmo,10,,MEDIUM,,,
brand visibility in chatgpt,llmo,,,,,,
chatgpt brand mentions,platform,10,,,,,
chatgpt brand visibility,platform,,,,,,
chatgpt empfehlung optimieren,platform,,,,,,
chatgpt empfiehlt meine konkurrenten,problem_aware,,,,,,
chatgpt für seo,platform,30,,LOW,,,
chatgpt kennt mein unternehmen nicht,problem_aware,,,,,,
chatgpt marke sichtbar machen,platform,,,,,,
chatgpt markenanalyse,service_intent,,,,,,
chatgpt mentions,platform,10,,,,,
chatgpt optimierung,platform,10,,MEDIUM,,,
chatgpt optimierung hamburg,local_hamburg,,,,,,
chatgpt optimization,platform,50,,LOW,,50,
chatgpt ranking,platform,20,11.16,LOW,,,
chatgpt ranking verbessern,platform,,,,,,
chatgpt seo,platform,590,14.44,MEDIUM,,590,14.44
chatgpt seo für lokale unternehmen,b2b_vertical,,,,,,
chatgpt seo hamburg,local_hamburg,,,,,,
chatgpt sichtbarkeit,"de_commercial, platform",,,,,,
chatgpt sichtbarkeit audit,service_intent,,,,,,
chatgpt sichtbarkeit für unternehmen,b2b_vertical,,,,,,
chatgpt suchmaschinenoptimierung,platform,,,,,,
chatgpt visibility,platform,10,23.59,HIGH,,,
chatgpt visibility audit,service_intent,,,,,,
chatgpt visibility hamburg,local_hamburg,,,,,,
chatgpt visibility report,service_intent,,,,,,
chatgpt zeigt falsche informationen über mein unternehmen,problem_aware,,,,,,
copilot optimierung,platform,,,,,,
copilot seo,platform,10,,LOW,,,
copilot sichtbarkeit,"de_commercial, platform",,,,,,
digitale sichtbarkeit hamburg,classic_local,,,,,,
eeat ai seo,entity_trust,,,,,,
eeat für ki sichtbarkeit,entity_trust,,,,,,
eeat seo,entity_trust,170,0.78,LOW,,,
entity optimization ai search,entity_trust,,,,,,
entity optimization seo,entity_trust,10,,LOW,,,
entity seo,entity_trust,70,,LOW,,,
entity seo agentur,entity_trust,,,,,,
entity seo deutsch,entity_trust,,,,,,
gemini optimierung,platform,,,,,,
gemini seo,platform,30,,LOW,,,
gemini sichtbarkeit,"de_commercial, platform",,,,,,
generative ai optimisation,geo,10,,,,,
generative ai optimization,geo,40,4.28,LOW,,,
generative engine optimisation,geo,50,5.21,HIGH,,,
generative engine optimisation agency,geo,10,,,,,
generative engine optimization,geo,1300,6.4,HIGH,,,
generative engine optimization agentur,geo,20,,MEDIUM,,,
generative engine optimization beratung,geo,,,,,,
generative engine optimization deutsch,geo,70,3.01,HIGH,,,
generative engine optimization deutschland,geo,,,,,,
generative engine optimization experte,geo,,,,,,
generative engine optimization für kmu,geo,,,,,,
generative engine optimization für unternehmen,geo,,,,,,
generative engine optimization hamburg,local_hamburg,,,,,,
generative engine optimization service,geo,20,16.24,LOW,,,
generative engine optimization vs seo,education,10,,LOW,,,
generative search optimization,geo,70,3.43,MEDIUM,,,
generative suche optimierung,geo,,,,,,
geo,geo,27100,1.76,LOW,,27100,1.76
geo agentur,geo,1000,27.91,MEDIUM,,,
geo analyse,service_intent,70,8.5,MEDIUM,,,
geo audit,service_intent,140,8.1,LOW,,,
geo beratung,geo,10,6.11,MEDIUM,,,
geo dienstleister,geo,,,,,,
geo experte,geo,10,3.44,LOW,,,
geo für unternehmen,b2b_vertical,,,,,,
geo hamburg,local_hamburg,260,,LOW,10,,
geo marketing,geo,390,5.47,MEDIUM,,,
geo optimierung,geo,880,11.47,HIGH,,,
geo seo,geo,1900,6.19,HIGH,,,
geo strategie,service_intent,40,5.8,LOW,,,
geo vs aeo,education,20,1.15,LOW,,,
geo vs seo,education,480,4.55,MEDIUM,,,
google ai mode optimization,platform,10,,,,,
google ai mode seo,platform,10,,LOW,,,
google ai overview zeigt konkurrenten,problem_aware,,,,,,
google ai overviews optimierung,platform,,,,,,
google ai overviews optimization,platform,,,,,,
google ai overviews seo,platform,20,,LOW,,,
google knowledge graph optimierung,entity_trust,,,,,,
google seo hamburg,classic_local,,,,,,
google sichtbarkeit verbessern,classic_local,10,29.09,LOW,,,
ki antworten optimieren,geo,,,,,,
ki findet meine firma nicht,problem_aware,,,,,,
ki markenanalyse,service_intent,,,,,,
ki seo agentur,de_commercial,210,40.36,MEDIUM,,,
ki seo agentur hamburg,local_hamburg,,,,,,
ki seo analyse,service_intent,,,,,,
ki seo audit,service_intent,,,,,,
ki seo beratung,de_commercial,,,,,,
ki seo beratung hamburg,local_hamburg,,,,,,
ki seo consultant hamburg,local_hamburg,,,,,,
ki seo dienstleister,de_commercial,,,,,,
ki seo experte,de_commercial,,,,,,
ki seo experte hamburg,local_hamburg,,,,,,
ki seo für b2b,b2b_vertical,,,,,,
ki seo für ecommerce,b2b_vertical,,,,,,
ki seo für handwerker,b2b_vertical,,,,,,
ki seo für kmu,b2b_vertical,,,,,,
ki seo für lokale unternehmen,b2b_vertical,,,,,,
ki seo für unternehmen,b2b_vertical,,,,,,
ki seo hamburg,local_hamburg,,,,,,
ki seo service,de_commercial,,,,,,
ki seo strategie,service_intent,,,,,,
ki sichtbarkeit,de_commercial,110,11.83,MEDIUM,,,
ki sichtbarkeit audit,service_intent,,,,,,
ki sichtbarkeit für unternehmen,b2b_vertical,,,,,,
ki sichtbarkeit hamburg,local_hamburg,,,,,,
ki sichtbarkeit messen,llmo,40,9.02,MEDIUM,,,
ki sichtbarkeit monitoring,llmo,,,,,,
ki sichtbarkeit report,service_intent,,,,,,
ki sichtbarkeit verbessern,llmo,,,,,,
ki suche optimierung hamburg,local_hamburg,,,,,,
ki suche sichtbarkeit verbessern,problem_aware,,,,,,
ki suche strategie,service_intent,,,,,,
ki suchmaschinenoptimierung,de_commercial,70,11.82,MEDIUM,,,
ki suchmaschinenoptimierung hamburg,local_hamburg,,,,,,
knowledge graph optimierung,entity_trust,,,,,,
knowledge graph seo,entity_trust,20,,LOW,,,
large language model optimization,llmo,30,4.82,LOW,,30,4.82
large language model optimization agency,llmo,,,,,,
large language model optimization deutsch,llmo,,,,,,
large language model optimization hamburg,local_hamburg,,,,,,
llm analyse,service_intent,40,7.87,LOW,,,
llm brand analyse,service_intent,,,,,,
llm brand monitoring,llmo,10,,LOW,,,
llm monitoring,llmo,20,8.72,MEDIUM,,,
llm optimierung,de_commercial,50,7.25,MEDIUM,,,
llm optimisation,llmo,10,,LOW,,,
llm optimization,llmo,90,6.13,LOW,,,
llm seo,de_commercial,170,6.38,MEDIUM,,,
llm sichtbarkeit,de_commercial,10,,LOW,,,
llm sichtbarkeit hamburg,local_hamburg,,,,,,
llm sichtbarkeit verbessern,llmo,,,,,,
llm visibility,llmo,40,31.67,MEDIUM,,,
llm visibility agency,llmo,,,,,,
llm visibility audit,service_intent,10,,,,,
llm visibility für unternehmen,b2b_vertical,,,,,,
llm visibility hamburg,local_hamburg,,,,,,
llm visibility optimization,llmo,10,,HIGH,,,
llm visibility report,service_intent,,,,,,
llm visibility strategie,service_intent,,,,,,
llm visibility verbessern,problem_aware,,,,,,
llmo,llmo,480,7.32,MEDIUM,,480,7.32
llmo agentur,llmo,110,12.54,LOW,,,
llmo beratung,llmo,,,,,,
llmo hamburg,local_hamburg,,,,,,
llmo marketing,llmo,10,,HIGH,,,
llmo optimization,llmo,10,,,,,
llmo seo,llmo,10,,LOW,,,
llmo vs seo,education,10,,LOW,,,
local seo hamburg,classic_local,140,14.35,LOW,10,,
lokale seo hamburg,classic_local,,,,,,
marke als entity aufbauen,entity_trust,,,,,,
marke in chatgpt sichtbar machen,llmo,,,,,,
markensichtbarkeit in ki,llmo,,,,,,
mehr sichtbarkeit bei google,classic_local,,,,,,
mehr sichtbarkeit durch ki,classic_local,,,,,,
online reputation seo,entity_trust,10,,HIGH,,,
online sichtbarkeit hamburg,classic_local,,,,,,
online sichtbarkeit verbessern,classic_local,,,,,,
optimierung für antwortmaschinen,aeo,,,,,,
perplexity brand visibility,platform,,,,,,
perplexity empfiehlt meine konkurrenten,problem_aware,,,,,,
perplexity optimierung,platform,,,,,,
perplexity seo,platform,50,,LOW,,,
perplexity sichtbarkeit,"de_commercial, platform",,,,,,
perplexity visibility,platform,,,,,,
reputation für ai search,entity_trust,,,,,,
reviews ai visibility,entity_trust,,,,,,
schema markup ai seo,entity_trust,,,,,,
seo agentur hamburg,classic_local,880,28.66,LOW,90,,
seo beratung hamburg,classic_local,320,,LOW,70,,
seo consultant hamburg,classic_local,20,,LOW,0,,
seo dienstleister hamburg,classic_local,10,,LOW,0,,
seo experte hamburg,classic_local,320,14.6,LOW,40,,
seo für chatgpt,de_commercial,110,15.03,MEDIUM,,,
seo für chatgpt hamburg,local_hamburg,,,,,,
seo für dienstleister hamburg,classic_local,,,,,,
seo für handwerker hamburg,classic_local,,,,,,
seo für ki,de_commercial,260,10.98,HIGH,,,
seo für ki hamburg,local_hamburg,,,,,,
seo für kmu hamburg,classic_local,,,,,,
seo für künstliche intelligenz,de_commercial,,,,,,
seo für llms,de_commercial,10,2.77,HIGH,,,
seo für unternehmen hamburg,classic_local,,,,,,
seo in zeiten von chatgpt,education,,,,,,
seo ist tot ai search,education,,,,,,
seo und künstliche intelligenz,education,,,,,,
sichtbarkeit in chatgpt,de_commercial,,,,,,
sichtbarkeit in google ai,de_commercial,,,,,,
sichtbarkeit in google ai overviews,de_commercial,,,,,,
sichtbarkeit in ki,de_commercial,,,,,,
sichtbarkeit in perplexity,de_commercial,,,,,,
structured data ai seo,entity_trust,,,,,,
strukturierte daten ki seo,entity_trust,,,,,,
suchmaschinenoptimierung hamburg,classic_local,1000,19.96,LOW,90,,
trust signals ai search,entity_trust,,,,,,
trust signals seo,entity_trust,,,,,,
warum empfiehlt chatgpt meine firma nicht,problem_aware,,,,,,
warum erscheint meine firma nicht in chatgpt,problem_aware,,,,,,
warum nennt chatgpt meine firma nicht,problem_aware,,,,,,
was ist aeo,education,110,,LOW,,,
was ist ai seo,education,,,,,,
was ist ai visibility,education,,,,,,
was ist answer engine optimization,education,,,,,,
was ist generative engine optimization,education,90,2.36,MEDIUM,,,
was ist geo seo,education,70,3.52,MEDIUM,,,
was ist ki seo,education,,,,,,
was ist llm sichtbarkeit,education,,,,,,
was ist llmo,education,20,7.11,LOW,,,
website optimierung hamburg,classic_local,70,,LOW,10,,
wie erscheint meine website in google ai overviews,problem_aware,,,,,,
wie funktioniert aeo,education,,,,,,
wie funktioniert ai seo,education,,,,,,
wie funktioniert geo,education,30,2.05,MEDIUM,,,
wie kann chatgpt mein unternehmen finden,problem_aware,,,,,,
wie kann perplexity mein unternehmen finden,problem_aware,,,,,,
wie kommt meine firma in chatgpt,problem_aware,,,,,,
